Ticker,Date,Price
BTC,1/18/21,35820.01
BTC,1/19/21,36624.23
BTC,1/20/21,35921.91
BTC,1/21/21,35628.24
BTC,1/22/21,30855.90
BTC,1/23/21,32982.66
BTC,1/24/21,32110.00
BTC,1/25/21,32293.18
BTC,1/26/21,32260.52
BTC,1/27/21,32584.62
BTC,1/28/21,30414.11
BTC,1/29/21,33487.92
BTC,1/30/21,34262.11
BTC,1/31/21,34315.63
BTC,2/1/21,33137.75
BTC,2/2/21,33450.00
BTC,2/3/21,35513.00
BTC,2/4/21,37688.42
BTC,2/5/21,36976.59
BTC,2/6/21,38250.00
BTC,2/7/21,39266.10
BTC,2/8/21,38871.43
BTC,2/9/21,46453.66
BTC,2/10/21,46514.73
BTC,2/11/21,44850.00
BTC,2/12/21,47993.60
BTC,2/13/21,47408.34
BTC,2/14/21,47240.75
BTC,2/15/21,48667.23
BTC,2/16/21,47935.66
BTC,2/17/21,49141.43
BTC,2/18/21,52170.01
BTC,2/19/21,51596.00
BTC,2/20/21,55983.57
BTC,2/21/21,55921.44
BTC,2/22/21,57577.69
BTC,2/23/21,54206.22
BTC,2/24/21,48899.99
BTC,2/25/21,49737.81
BTC,2/26/21,47063.90
BTC,2/27/21,46319.79
BTC,2/28/21,46169.92
BTC,3/1/21,45231.74
BTC,3/2/21,49635.30
BTC,3/3/21,48502.18
BTC,3/4/21,50370.33
BTC,3/5/21,48370.97
BTC,3/6/21,48766.01
BTC,3/7/21,48909.83
BTC,3/8/21,50976.22
BTC,3/9/21,52413.17
BTC,3/10/21,54921.61
BTC,3/11/21,55888.70
BTC,3/12/21,58065.92
BTC,3/13/21,57220.84
BTC,3/14/21,61181.38
BTC,3/15/21,58972.71
BTC,3/16/21,55629.08
BTC,3/17/21,56924.26
BTC,3/18/21,58925.54
BTC,3/19/21,57644.95
BTC,3/20/21,58026.91
BTC,3/21/21,58126.34
BTC,3/22/21,57377.29
BTC,3/23/21,54111.49
BTC,3/24/21,54333.27
BTC,3/25/21,52259.69
BTC,3/26/21,51250.00
BTC,3/27/21,55080.90
BTC,3/28/21,55856.54
BTC,3/29/21,55781.22
BTC,3/30/21,57613.76
BTC,3/31/21,58786.46
BTC,4/1/21,58800.01
BTC,4/2/21,58726.47
BTC,4/3/21,58981.04
BTC,4/4/21,57094.34
BTC,4/5/21,58216.73
BTC,4/6/21,59134.07
BTC,4/7/21,58021.67
BTC,4/8/21,55962.67
BTC,4/9/21,58083.10
BTC,4/10/21,58092.68
BTC,4/11/21,59778.59
BTC,4/12/21,59983.66
BTC,4/13/21,59799.01
BTC,4/14/21,63588.22
BTC,4/15/21,62971.80
BTC,4/16/21,63229.04
BTC,4/17/21,61427.27
BTC,4/18/21,60067.20
BTC,4/19/21,56273.65
BTC,4/20/21,55696.83
BTC,4/21/21,56477.67
BTC,4/22/21,53795.62
BTC,4/23/21,51695.98
BTC,4/24/21,51260.61
BTC,4/25/21,50101.42
BTC,4/26/21,48817.62
BTC,4/27/21,54047.80
BTC,4/28/21,55069.61
BTC,4/29/21,54889.81
BTC,4/30/21,53580.00
BTC,5/1/21,57798.77
BTC,5/2/21,57972.26
BTC,5/3/21,56625.21
BTC,5/4/21,57247.24
BTC,5/5/21,52913.02
BTC,5/6/21,57515.69
BTC,5/7/21,56444.82
BTC,5/8/21,57380.39
BTC,5/9/21,58958.06
BTC,5/10/21,58313.84
BTC,5/11/21,55866.38
BTC,5/12/21,56753.19
BTC,5/13/21,46000.00
BTC,5/14/21,49682.28
BTC,5/15/21,49893.48
BTC,5/16/21,46771.01
BTC,5/17/21,46646.15
BTC,5/18/21,43571.89
BTC,5/19/21,42865.05
BTC,5/20/21,36735.44
BTC,5/21/21,40623.24
BTC,5/22/21,37333.09
BTC,5/23/21,37476.84
BTC,5/24/21,34758.88
BTC,5/25/21,38874.53
BTC,5/26/21,38361.81
BTC,5/27/21,39293.23
BTC,5/28/21,38556.88
BTC,5/29/21,35680.48
BTC,5/30/21,34627.81
BTC,5/31/21,35669.44
BTC,6/1/21,37276.23
BTC,6/2/21,36684.99
BTC,6/3/21,37581.83
BTC,6/4/21,39291.24
BTC,6/5/21,36856.53
BTC,6/6/21,35539.97
BTC,6/7/21,35800.48
BTC,6/8/21,33567.26
BTC,6/9/21,33402.13
BTC,6/10/21,37404.75
BTC,6/11/21,36694.91
BTC,6/12/21,37340.08
BTC,6/13/21,35557.32
BTC,6/14/21,39159.62
BTC,6/15/21,40537.93
BTC,6/16/21,40158.06
BTC,6/17/21,38351.00
BTC,6/18/21,38103.94
BTC,6/19/21,35840.96
BTC,6/20/21,35484.80
BTC,6/21/21,35741.54
BTC,6/22/21,31609.82
BTC,6/23/21,32538.90
BTC,6/24/21,33688.51
BTC,6/25/21,34654.87
BTC,6/26/21,31594.62
BTC,6/27/21,32267.59
BTC,6/28/21,34708.53
BTC,6/29/21,34493.22
BTC,6/30/21,35906.17
BTC,7/1/21,35066.54
BTC,7/2/21,33510.93
BTC,7/3/21,33805.01
BTC,7/4/21,34685.03
BTC,7/5/21,35290.82
BTC,7/6/21,33697.78
BTC,7/7/21,34225.72
BTC,7/8/21,33934.62
BTC,7/9/21,32875.95
BTC,7/10/21,33824.25
BTC,7/11/21,33515.35
BTC,7/12/21,34259.22
BTC,7/13/21,33077.43
BTC,7/14/21,32734.14
BTC,7/15/21,32815.75
BTC,7/16/21,31872.49
BTC,7/17/21,31389.57
BTC,7/18/21,31533.90
